Variable Name,Label,Value Labels,Level,Role,Type of data,Full Question
S5_34,S5:Buzz,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_35,S5:10BET,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_36,S5:Gala,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_37,S5:Slots Heaven,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_38,S5:Poker Stars (Stars Group),0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_39,S5:Party Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_40,S5:Bwin,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_41,S5:Dream Vegas,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_42,S5:mobilebet,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_43,S5:Wink,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_44,S5:Casino.com,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_45,S5:777,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_999,S5:None of these,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5B_1,S5B:888,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_2,S5B:888 Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_4,S5B:888 Sport,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_5,S5B:888 Ladies (Bingo),0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_6,S5B:888 Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_7,S5B:PaddyPower,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_8,S5B:PaddyPower Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_10,S5B:PaddyPower (Sports),0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_11,S5B:PaddyPower Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_12,S5B:PaddyPower Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_13,S5B:Betfair,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_14,S5B:Betfair Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_16,S5B:Betfair Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_17,S5B:Betfair Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_18,S5B:Betfair Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_19,S5B:Stars Group: Sky,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_20,S5B:Sky Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_22,S5B:Sky Bet (Sports),0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_23,S5B:Sky Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_24,S5B:Sky Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_25,S5B:Ladbrokes,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_26,S5B:Ladbrokes Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_28,S5B:Ladbrokes Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_29,S5B:Ladbrokes Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_30,S5B:Ladbrokes Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_31,S5B:Coral,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_32,S5B:Coral Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_34,S5B:Coral Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_35,S5B:Coral Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_36,S5B:Coral Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_37,S5B:Betway,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_38,S5B:Betway Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_40,S5B:Betway Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_41,S5B:Mansion Bet,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_42,S5B:Mansion Bet Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_44,S5B:Mansion Bet Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_45,S5B:MoPlay,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_46,S5B:MoPlay Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_48,S5B:MoPlay Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_49,S5B:32red,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_50,S5B:32red Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_52,S5B:32red Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_53,S5B:32red Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_54,S5B:32red Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_55,S5B:GROSVENOR,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_56,S5B:GROSVENOR Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_58,S5B:GROSVENOR Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_59,S5B:GROSVENOR Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_60,S5B:Genting,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_61,S5B:Genting Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_63,S5B:GentingBet,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_64,S5B:Dunder,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_65,S5B:Dunder Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_67,S5B:Grand Ivy Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_68,S5B:Grand Ivy Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_70,S5B:The Hippodrome Online Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_71,S5B:The Hippodrome Online Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_73,S5B:Mansion Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_74,S5B:Mansion Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_76,S5B:Casimba,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_77,S5B:Casimba Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_79,S5B:SPORTNATION.BET,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_80,S5B:SPORTNATION.BET Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_82,S5B:SPORTNATION.BET Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_83,S5B:William Hill,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_84,S5B:William Hill Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_86,S5B:William Hill Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_87,S5B:William Hill Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_88,S5B:William Hill Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_89,S5B:NetBet,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_90,S5B:NetBet Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_92,S5B:NetBet Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_93,S5B:NetBet Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_94,S5B:Karamba,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_95,S5B:Karamba Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_97,S5B:Karamba Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_98,S5B:Comeon,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_99,S5B:Comeon Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_101,S5B:Comeon Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_102,S5B:Casumo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_103,S5B:Casumo Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_105,S5B:ROYAL PANDA,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_106,S5B:ROYAL PANDA Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_108,S5B:ROYAL PANDA Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_109,S5B:Mr.Green,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_110,S5B:Mr.Green Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_112,S5B:ASPERS CASINO,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_113,S5B:ASPERS CASINO,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_115,S5B:Party,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_116,S5B:Party Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_118,S5B:Party Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_119,S5B:Heart Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_120,S5B:Heart Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_121,S5B:Butlers,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_122,S5B:Butlers Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_123,S5B:Betfred,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_124,S5B:Betfred Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_126,S5B:Betfred Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_127,S5B:Betfred Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_128,S5B:Betfred Poker,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_129,S5B:Rosy Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_130,S5B:Rosy Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_131,S5B:Dotty,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_132,S5B:Dotty Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_133,S5B:Bingo Diamond,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_134,S5B:Bingo Diamond,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_135,S5B:Buzz,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_136,S5B:Buzz Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_137,S5B:10BET,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_138,S5B:10BET Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_140,S5B:10BET Sports,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_141,S5B:Gala,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_142,S5B:Gala Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
S5B_144,S5B:Gala Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,"For each of these brands, which of their offerings are you aware of? <inst>Please select all that apply</inst>"
